"종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"079960","동양이엔피",21600,-400,-1.82,2921,7.39,NA,NA,35453,0.61,300,1.39
"008970","동양철관",868,-8,-0.91,33,26.3,NA,NA,740,1.17,0,0
"228340","동양파일",3000,-60,-1.96,245,12.24,NA,NA,6146,0.49,0,0
"092780","동양피스톤",6140,430,7.53,198,31.01,NA,NA,9239,0.66,60,0.98
"088910","동우팜투테이블",3000,-55,-1.8,628,4.78,NA,NA,7525,0.4,0,0
"094170","동운아나텍",23600,0,0,NA,NA,NA,NA,1227,19.23,0,0
"049770","동원F&B",30750,200,0.65,4711,6.53,5495,5.6,45847,0.67,701,2.28
"013120","동원개발",3340,-15,-0.45,905,3.69,NA,NA,11288,0.3,160,4.79
"018500","동원금속",1812,-51,-2.74,389,4.66,NA,NA,1919,0.94,20,1.1
"006040","동원산업",32750,-350,-1.06,5748,5.7,6482,5.05,69698,0.47,1100,3.36
"030720","동원수산",8120,-50,-0.61,1328,6.11,NA,NA,13454,0.6,250,3.08
"014820","동원시스템즈",31700,-1400,-4.23,2472,12.82,NA,NA,25113,1.26,600,1.89
"014825","동원시스템즈우",22550,-550,-2.38,NA,NA,NA,NA,NA,NA,650,2.88
"163560","동일고무벨트",6360,-50,-0.78,561,11.34,NA,NA,15353,0.41,120,1.89
"109860","동일금속",10310,-30,-0.29,1646,6.26,NA,NA,18061,0.57,400,3.88
"032960","동일기연",12160,60,0.5,312,38.97,NA,NA,17356,0.7,35,0.29
"004890","동일산업",56200,-300,-0.53,10085,5.57,NA,NA,192642,0.29,3000,5.34
