"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1033","151910","SBW생명과학","456","9","-1.94%","100","808","177,134",0.97,"89,862","-11.4","-45.14"
"1034","083660","CSA 코스믹","1,318","29","+2.25%","200","807","61,247",0.35,"87,724","-3.97","-142.76"
"1035","307870","비투엔","2,390","65","-2.65%","100","805","33,686",0.8,"1,644,481","-34.14","-12.54"
"1036","066900","디에이피","3,535","100","-2.75%","500","804","22,745",0.97,"25,375","67.98","N/A"
"1037","242040","나무기술","2,320","50","-2.11%","100","803","34,606",3.08,"315,373","-48.33","0.87"
"1038","208140","정다운","2,455","0","0.00%","100","802","32,684",3.86,"112,730","3.46","17.63"
"1039","042110","에스씨디","1,654","8","-0.48%","500","799","48,330",52.53,"90,527","17.6","7.19"
"1040","002230","피에스텍","4,120","5","-0.12%","500","798","19,371",4.73,"9,869","25.28","-3.39"
"1041","049430","코메론","8,800","100","+1.15%","500","796","9,048",15.62,"11,615","4.03","8.45"
"1042","405920","나라셀라","6,180","90","-1.44%","5,000","796","12,878",0.81,"32,262","6.41","N/A"
"1043","038010","제일테크노스","8,840","140","-1.56%","500","796","9,000",3.16,"74,802","4.31","13.82"
"1044","185490","아이진","3,700","20","-0.54%","500","795","21,478",1.52,"58,773","-3.33","-33.34"
"1045","054040","한국컴퓨터","4,935","25","+0.51%","500","793","16,071",2.2,"162,451","4.32","13.85"
"1046","010240","흥국","6,430","30","+0.47%","500","792","12,323",4.75,"25,353","6.46","9.61"
"1047","265740","엔에프씨","8,870","10","+0.11%","100","792","8,932",0.2,"18,524","30.07","3.30"
"1048","124500","아이티센","3,855","45","-1.15%","500","791","20,512",1.89,"55,577","31.6","3.07"
"1049","088910","동우팜투테이블","3,055","0","0.00%","500","789","25,832",5.99,"103,853","3.16","8.71"
"1050","033130","디지틀조선","2,125","0","0.00%","500","789","37,115",1.95,"87,974","25.6","3.39"
"1051","097780","에코볼트","1,254","31","-2.41%","1,000","787","62,730",1.52,"55,748","-0.97","-24.90"
"1052","335810","프리시젼바이오","6,750","100","-1.46%","500","784","11,615",0.45,"30,270","-15.48","-18.98"
"1053","065370","위세아이텍","10,600","80","-0.75%","500","783","7,384",5.48,"16,958","-40.93","14.41"
"1054","053270","구영테크","2,925","30","-1.02%","500","783","26,758",1.13,"112,807","5.68","4.98"
"1055","900100","애머릿지","2,010","5","-0.25%","1","782","38,912",17.01,"76,242","-8.17","2.25"
"1056","007680","대원","5,810","10","+0.17%","500","781","13,446",1.01,"2,987","-37.24","5.84"
"1057","024800","유성티엔에스","2,105","15","-0.71%","500","780","37,052",0.24,"9,688","1.02","15.58"
"1058","239610","에이치엘사이언스","14,410","70","+0.49%","500","777","5,392",0.25,"751","-64.91","1.51"
"1059","002800","신신제약","5,100","20","-0.39%","500","774","15,170",1.33,"46,405","14.74","7.70"
"1060","148930","에이치와이티씨","7,660","110","-1.42%","500","774","10,100",1.24,"23,000","24.87","5.45"
"1061","017650","대림제지","8,560","20","+0.23%","500","770","9,000",1.82,"4,767","3.56","N/A"
"1062","032680","소프트센","729","0","0.00%","200","770","105,591",22.53,"1,256,056","-121.5","17.26"
"1063","067170","오텍","5,000","50","-0.99%","500","770","15,392",2.11,"30,463","-2.55","-26.13"
"1064","224110","에이텍모빌리티","14,350","290","+2.06%","500","766","5,340",6.12,"45,284","13.69","8.23"
"1065","024740","한일단조","2,430","40","-1.62%","500","766","31,533",2.47,"133,303","6.14","6.52"
"1066","052220","iMBC","3,330","10","-0.30%","500","766","23,000",1.18,"119,009","35.81","3.00"
"1067","094840","슈프리마에이치큐","7,300","120","-1.62%","500","764","10,472",1.84,"24,033","2.09","7.47"
"1068","001840","이화공영","3,850","105","-2.65%","500","763","19,806",1.06,"67,081","-56.62","1.23"
"1069","419050","삼기이브이","5,310","560","-9.54%","100","759","14,299",0.47,"819,888","63.98","19.99"
"1070","247660","나노씨엠에스","17,450","0","0.00%","500","758","4,344",0.32,"133,888","-23.64","0.67"
"1071","014570","고려제약","6,890","40","-0.58%","500","758","11,000",1.79,"13,314","13.92","14.63"
"1072","314140","알피바이오","8,740","90","-1.02%","500","757","8,666",2.84,"20,433","76","5.53"
"1073","191420","테고사이언스","9,340","110","-1.16%","500","757","8,109",1.07,"8,146","-58.38","0.55"
"1074","068330","일신바이오","1,711","3","-0.18%","100","757","44,216",1.17,"112,776","13.37","7.34"
"1075","038460","바이오스마트","3,645","95","-2.54%","500","752","20,618",2.67,"154,376","11.99","0.74"
"1076","311390","네오크레마","9,300","80","+0.87%","500","749","8,057",2.07,"246,449","-8.72","-1.70"
"1077","900310","컬러레이","1,169","13","-1.10%","0","749","64,042",53.46,"663,018","5.67","4.93"
"1078","238090","앤디포스","3,180","25","-0.78%","500","749","23,541",1.68,"33,875","-4.3","-13.14"
"1079","359090","씨엔알리서치","1,366","7","+0.52%","100","749","54,802",1.28,"455,624","17.29","11.81"
"1080","023460","CNH","2,000","0","0.00%","2,500","744","37,200",0.26,"12,287","4.21","-13.18"
"1081","039830","오로라","6,910","50","-0.72%","500","744","10,763",0.97,"13,288","17.41","5.87"
"1082","088290","이원컴포텍","3,060","370","-10.79%","500","743","24,285",17.88,"829,189","7.56","-19.59"
"1083","103840","우양","5,200","340","-6.14%","100","741","14,258",3.49,"213,606","-64.2","-7.34"
"1084","147830","제룡산업","3,690","30","-0.81%","500","738","20,000",5.81,"43,531","6.85","12.92"
"1085","123570","이엠넷","3,295","105","-3.09%","500","734","22,276",26.29,"124,623","15.18","7.54"
"1086","072470","우리산업홀딩스","3,880","50","-1.27%","500","733","18,887",0.59,"10,785","242.5","-5.01"
"1087","290740","액트로","7,270","50","-0.68%","500","732","10,065",1.92,"26,082","-13.12","-13.58"
"1088","094940","푸른기술","8,750","30","+0.34%","500","732","8,361",2.28,"266,098","52.08","0.59"
"1089","012340","뉴인텍","1,437","3","-0.21%","500","732","50,907",0.61,"169,156","-4.56","-41.72"
"1090","122690","서진오토모티브","3,445","20","-0.58%","500","731","21,228",0.59,"50,657","10.22","9.10"
"1091","047770","코데즈컴바인","1,923","8","-0.41%","500","728","37,843",1.82,"63,560","16.16","13.56"
"1092","139670","키네마스터","5,200","100","-1.89%","500","727","13,981",1.22,"31,221","-6.96","-91.91"
"1093","199730","바이오인프라","15,140","290","-1.88%","500","726","4,797",2.11,"22,535","33.95","43.36"
"1094","196450","코아시아씨엠","1,602","53","-3.20%","1,000","726","45,320",1.35,"57,622","-3.37","-11.63"
