"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"134","010950","S-Oil","KOSPI","화학",78900,-1000,-1.25,8882782288800
"135","010955","S-Oil우","KOSPI","화학",52800,-600,-1.12,212357745600
"136","034120","SBS","KOSPI","서비스업",29250,-850,-2.82,533888023500
"137","005090","SGC에너지","KOSPI","전기가스업",27250,600,2.25,399948359000
"138","001380","SG글로벌","KOSPI","운수장비",1572,35,2.28,70683632796
"139","004060","SG세계물산","KOSPI","유통업",465,-4,-0.85,94127606400
"140","001770","SHD","KOSPI","철강금속",22850,-200,-0.87,27759962300
"141","002360","SH에너지화학","KOSPI","화학",678,-5,-0.73,75348668940
"142","009160","SIMPAC","KOSPI","철강금속",4115,5,0.12,269242458340
"143","123700","SJM","KOSPI","운수장비",3900,-130,-3.23,60859102200
"144","025530","SJM홀딩스","KOSPI","유통업",3555,-135,-3.66,53090398440
"145","034730","SK","KOSPI","기타금융",152600,1600,1.06,11170065005400
"146","011790","SKC","KOSPI","화학",81600,300,0.37,3090053116800
"147","018670","SK가스","KOSPI","유통업",148800,1400,0.95,1373460307200
"148","001740","SK네트웍스","KOSPI","유통업",6560,70,1.08,1546705418400
"149","006120","SK디스커버리","KOSPI","기타금융",42500,150,0.35,809108837500
"150","006125","SK디스커버리우","KOSPI","기타금융",31300,250,0.81,42519641500
"151","210980","SK디앤디","KOSPI","서비스업",28100,200,0.72,623543608400
"152","068400","SK렌터카","KOSPI","서비스업",12270,170,1.4,580197256800
"153","395400","SK리츠","KOSPI","서비스업",4305,-105,-2.38,846165310095
"154","302440","SK바이오사이언스","KOSPI","의약품",70600,-200,-0.28,5420953647600
"155","326030","SK바이오팜","KOSPI","서비스업",88400,-1600,-1.78,6922891300000
"156","402340","SK스퀘어","KOSPI","기타금융",43200,400,0.93,6111399067200
"157","361610","SK아이이테크놀로지","KOSPI","전기전자",80100,800,1.01,5710937119200
"158","100090","SK오션플랜트","KOSPI","철강금속",20100,-550,-2.66,1189830916800
"159","03473K","SK우","KOSPI","기타금융",132200,1200,0.92,74843047000
"160","096770","SK이노베이션","KOSPI","화학",164400,200,0.12,15201338721600
"161","096775","SK이노베이션우","KOSPI","화학",108200,0,0,135079693200
"162","001510","SK증권","KOSPI","증권",631,1,0.16,298204397901
"163","001515","SK증권우","KOSPI","증권",2095,-10,-0.48,8196716830
"164","285130","SK케미칼","KOSPI","화학",61500,-200,-0.32,1061107654500
"165","28513K","SK케미칼우","KOSPI","화학",28750,-500,-1.71,60818583750
"166","017670","SK텔레콤","KOSPI","통신업",50700,100,0.2,11094840400800
"167","000660","SK하이닉스","KOSPI","전기전자",118000,-1200,-1.01,85904279070000
"168","003570","SNT다이내믹스","KOSPI","운수장비",11550,-20,-0.17,384068650350
"169","064960","SNT모티브","KOSPI","운수장비",45050,-500,-1.1,658772276800
"170","100840","SNT에너지","KOSPI","기계",22650,-450,-1.95,170027004150
"171","036530","SNT홀딩스","KOSPI","기타금융",15470,-20,-0.13,252221116420
"172","005610","SPC삼립","KOSPI","음식료품",66700,-400,-0.6,575554900300
"173","011810","STX","KOSPI","유통업",29500,3150,11.95,697908846500
"174","465770","STX그린로지스","KOSPI","운수창고업",30550,7050,30,219075027600
"175","077970","STX엔진","KOSPI","기계",13650,30,0.22,314071539600
"176","071970","STX중공업","KOSPI","기계",10430,-110,-1.04,297804337670
"177","002820","SUN&L","KOSPI","종이목재",2600,30,1.17,32780771400
"178","084870","TBH글로벌","KOSPI","섬유의복",2100,-20,-0.94,43799319900
"179","002710","TCC스틸","KOSPI","철강금속",55800,2300,4.3,1462724292600
"180","069260","TKG휴켐스","KOSPI","화학",21750,50,0.23,889109289000
"181","002900","TYM","KOSPI","기계",6160,-40,-0.65,277513888960
"182","024070","WISCOM","KOSPI","화학",2760,95,3.56,42300968880
"183","037270","YG PLUS","KOSPI","서비스업",5190,-120,-2.26,329198637900
"184","000500","가온전선","KOSPI","전기전자",20450,-100,-0.49,130040036700
"185","000860","강남제비스코","KOSPI","화학",22000,0,0,1.43e+11
